A,A_print,F,p_star,p_max,PPR,AI,zone,length_cm,width_cm,participant,side,footstep
46.75,107.25,537.2,114.9090909090909,439.0,3.8204113924050636,0.2072072072072072,toes,26.5,9.5,1,R,0
58.0,100.5,642.9,110.8448275862069,543.0,4.8987400839944,0.10485933503836317,forefoot,27.5,10.0,1,L,1
49.5,89.75,520.725,105.1969696969697,374.0,3.555235488981708,0.18666666666666668,toes,26.5,9.5,1,R,2
42.0,93.5,425.975,101.42261904761905,369.0,3.638241680849815,0.22767857142857142,heel,27.5,9.0,1,L,3
34.25,100.25,496.20000000000005,144.87591240875912,517.0,3.568571140669085,0.17987152034261242,heel,26.5,10.0,1,R,5
50.0,101.75,599.25,119.85,474.0,3.9549436795994994,0.1451990632318501,forefoot,27.5,9.5,1,L,6
43.0,84.0,280.175,65.15697674418604,241.0,3.698759703756581,0.11056511056511056,toes,27.0,9.0,1,R,7
44.0,100.0,390.125,88.66477272727272,259.0,2.921115027234861,0.17685589519650655,heel,27.5,9.0,1,L,8
51.5,124.0,657.95,127.75728155339806,364.0,2.8491526711756214,0.22529644268774704,heel,27.0,10.0,1,R,10
45.25,104.25,476.975,105.40883977900552,391.0,3.7093663189894652,0.21413276231263384,forefoot,27.0,10.0,1,L,11
41.75,94.75,345.5,82.75449101796407,264.0,3.1901591895803185,0.24186046511627907,forefoot,27.5,8.5,1,R,12
45.5,105.0,432.8,95.12087912087912,361.0,3.7951709796672826,0.22505307855626328,heel,27.5,9.5,1,L,13
38.0,100.0,402.05,105.80263157894737,452.0,4.272105459519961,0.2332657200811359,forefoot,26.5,9.5,1,L,15
48.25,105.25,555.6,115.15025906735752,367.0,3.187140028797696,0.18863636363636363,forefoot,27.5,10.0,1,R,16
41.75,88.25,403.675,96.68862275449102,278.0,2.8752090171548894,0.21481481481481482,forefoot,28.0,9.5,1,L,17
48.0,98.25,366.975,76.45312500000001,261.0,3.4138565297363574,0.21367521367521367,forefoot,27.5,10.0,1,R,18
53.25,105.25,425.45000000000005,79.89671361502349,230.0,2.8787166529556933,0.21413721413721415,forefoot,27.5,10.0,1,L,19
63.5,122.25,655.9250000000001,103.2952755905512,363.0,3.5141975073369665,0.2490272373540856,heel,27.0,11.5,1,L,20
44.5,112.5,447.675,100.60112359550561,310.0,3.0814765175629644,0.20606060606060606,heel,27.0,9.5,1,R,21
39.75,94.0,404.225,101.69182389937107,512.0,5.0348197167419135,0.25510204081632654,heel,28.5,9.5,1,L,22
54.5,109.25,492.625,90.38990825688073,348.0,3.8499873128647555,0.22199170124481327,heel,26.5,10.0,1,R,23
43.0,102.75,370.25,86.1046511627907,283.0,3.2866981769074948,0.21568627450980393,forefoot,27.5,9.0,1,R,25
45.75,102.5,511.25,111.74863387978142,418.0,3.7405378973105132,0.23026315789473684,forefoot,28.0,10.0,1,L,26
48.75,96.75,467.90000000000003,95.9794871794872,388.0,4.042530455225475,0.1024390243902439,toes,27.5,9.0,1,R,27
34.75,100.0,424.125,122.05035971223022,416.0,3.408429118773946,0.22916666666666666,heel,28.0,9.0,1,L,28
50.25,107.0,367.82500000000005,73.1990049751244,235.0,3.2104261537415884,0.21231422505307856,forefoot,27.0,9.5,1,L,31
49.25,108.0,466.8,94.78172588832489,389.0,4.104166666666666,0.19661733615221988,toes,27.5,9.5,1,R,32
52.5,114.75,592.4250000000001,112.84285714285714,515.0,4.563868844157488,0.21231422505307856,forefoot,28.0,9.5,1,L,33
49.25,98.75,495.32500000000005,100.57360406091372,608.0,6.045323777317922,0.19654427645788336,toes,28.5,9.0,1,R,34
41.5,105.0,405.77500000000003,97.77710843373495,298.0,3.047748136282422,0.25263157894736843,heel,27.0,9.5,1,R,36
43.5,96.0,457.175,105.09770114942529,299.0,2.8449718379176465,0.1417910447761194,forefoot,28.0,9.5,1,L,37
48.75,102.5,410.375,84.17948717948717,371.0,4.40724946695096,0.22950819672131148,toes,27.5,10.0,1,R,38
41.5,97.25,415.90000000000003,100.21686746987952,306.0,3.053378215917288,0.21788990825688073,forefoot,28.0,10.0,1,L,39
58.25,104.5,404.40000000000003,69.42489270386265,298.0,4.292408506429278,0.22424242424242424,heel,27.0,10.0,1,R,40
41.5,103.75,539.7,130.04819277108433,404.0,3.1065406707430054,0.25617977528089886,forefoot,27.5,8.5,1,L,41
59.5,107.75,633.5500000000001,106.47899159663866,391.0,3.6720858653618498,0.2039045553145336,forefoot,28.0,10.0,1,R,42
42.25,100.25,469.90000000000003,111.21893491124263,566.0,5.089061502447328,0.24288840262582057,forefoot,27.5,10.0,1,L,43
45.25,88.5,434.32500000000005,95.98342541436465,278.0,2.8963333908939157,0.10023866348448687,toes,28.0,9.5,1,R,44
44.25,95.25,538.9,121.78531073446328,533.0,4.376554091668213,0.21662468513853905,heel,27.0,9.5,1,L,45
49.75,98.25,378.1,76.0,289.0,3.8026315789473686,0.20425531914893616,toes,27.5,10.0,1,R,46
49.75,108.25,455.75,91.60804020100501,276.0,3.0128359846407027,0.23552894211576847,forefoot,27.0,10.0,1,L,47
47.25,85.5,368.85,78.06349206349208,232.0,2.9719398129320855,0.1583710407239819,toes,25.5,10.0,1,R,48
33.0,75.5,273.27500000000003,82.81060606060608,220.0,2.6566645320647693,0.19896640826873385,forefoot,27.5,8.5,1,L,49
55.5,100.0,549.075,98.93243243243244,433.0,4.376724491189728,0.15964523281596452,toes,28.0,10.0,1,R,50
68.25,117.5,687.525,100.73626373626374,368.0,3.653103523508236,0.1663286004056795,heel,26.5,10.5,1,L,51
52.75,98.5,537.85,101.96208530805687,276.0,2.7068885376963836,0.14977973568281938,forefoot,27.0,9.5,1,R,52
46.25,91.25,435.125,94.08108108108108,393.0,4.177247917265154,0.20506912442396313,heel,27.5,9.5,1,L,53
42.0,92.5,380.8,90.66666666666667,332.0,3.661764705882353,0.12135922330097088,heel,28.0,9.5,1,R,54
